[ 127.0.0.1 ] [ 2018-04-18 14:18:50 ] [ GET ] [ localhost- ] [ 127.0.0.1 ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ 请求频繁 ]
[ 127.0.0.1 ] [ 2018-04-18 14:20:33 ] [ GET ] [ localhost- ] [ 127.0.0.1 ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ 请求频繁 ]
[ 127.0.0.1 ] [ 2018-04-18 14:20:52 ] [ GET ] [ localhost- ] [ 127.0.0.1 ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ 请求频繁 ]
[ 127.0.0.1 ] [ 2018-04-18 14:21:41 ] [ GET ] [ localhost- ] [ 127.0.0.1 ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ 请求频繁 ]
[ 127.0.0.1 ] [ 2018-04-18 14:21:58 ] [ GET ] [ localhost- ] [ 127.0.0.1 ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ 请求频繁 ]
[ 127.0.0.1 ] [ 2018-04-18 14:22:49 ] [ GET ] [ localhost- ] [ 127.0.0.1 ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ 请求频繁 ]
[ 127.0.0.1 ] [ 2018-04-18 14:34:36 ] [ GET ] [ localhost/index.php ] [ get=12    select ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ select ]
[ 127.0.0.1 ] [ 2018-04-18 14:54:01 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 14:54:25 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:01:52 ] [ POST ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:06:38 ] [ POST ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:20:57 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:21:59 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:22:28 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:28:09 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:28:27 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:29:20 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:29:48 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:30:49 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:33:02 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
[ 127.0.0.1 ] [ 2018-04-18 15:58:22 ] [ GET ] [ localhost/index.php ] [ id=1' ]  [ Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 ] [ ' ]
